Question,Answer Options,Correct Answer,Dish,Origin,Question type
¿Cuál es un ingrediente principal de Papas arrugadas en España?,"['aceite de girasol', 'almeja', 'sal', 'pescado']",sal,Papas arrugadas,España,main ingredient
¿En qué país es tradicionalmente popular el plato Papas arrugadas?,"['Argentina', 'México', 'España', 'Perú']",España,Papas arrugadas,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Harinosas?,"['España', 'Colombia', 'Venezuela', 'México']",España,Harinosas,España,country of traditional dish
¿Cuál es un ingrediente principal de gachas tortas en España?,"['pan', 'Consomé', 'almendra', 'perejil']",perejil,gachas tortas,España,main ingredient
¿En qué país es tradicionalmente popular el plato gachas tortas?,"['Perú', 'México', 'Venezuela', 'España']",España,gachas tortas,España,country of traditional dish
¿Cuál es un ingrediente principal de flor frita en España?,"['carne', 'harina', 'Wantán', 'especia']",harina,flor frita,España,main ingredient
¿En qué país es tradicionalmente popular el plato flor frita?,"['Venezuela', 'Argentina', 'México', 'España']",España,flor frita,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Paleta de cerdo?,"['España', 'Perú', 'México', 'Argentina']",España,Paleta de cerdo,España,country of traditional dish
¿Cuál es un ingrediente principal de Lentejas con chorizo en España?,"['lenteja', 'morcilla', 'tortilla de trigo', 'vino tinto']",lenteja,Lentejas con chorizo,España,main ingredient
¿En qué país es tradicionalmente popular el plato Lentejas con chorizo?,"['Venezuela', 'México', 'España', 'Perú']",España,Lentejas con chorizo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Coca de anís?,"['México', 'España', 'Venezuela', 'Argentina']",España,Coca de anís,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato nochebueno?,"['España', 'Colombia', 'Perú', 'México']",España,nochebueno,España,country of traditional dish
¿Cuál es un ingrediente principal de magdalena en España?,"['verdura', 'harina', 'cola', 'azúcar de caña']",harina,magdalena,España,main ingredient
¿En qué país es tradicionalmente popular el plato magdalena?,"['Colombia', 'México', 'Argentina', 'España']",España,magdalena,España,country of traditional dish
¿Cuál es un ingrediente principal de torta en España?,"['Bolillo (pan)', 'manos de cerdo', 'anisetta', 'cerdo']",Bolillo (pan),torta,España,main ingredient
¿En qué país es tradicionalmente popular el plato torta?,"['España', 'Venezuela', 'Argentina', 'Perú']",España,torta,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Bizcocho borracho?,"['México', 'Venezuela', 'Colombia', 'España']",España,Bizcocho borracho,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato sopa de ajo?,"['Colombia', 'México', 'España', 'Argentina']",España,sopa de ajo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato madejas?,"['España', 'Venezuela', 'Argentina', 'México']",España,madejas,España,country of traditional dish
¿Cuál es un ingrediente principal de Escudella i carn d'olla en España?,"['albóndiga', 'crema pastelera', 'camarón', 'queso fresco']",albóndiga,Escudella i carn d'olla,España,main ingredient
¿En qué país es tradicionalmente popular el plato Escudella i carn d'olla?,"['España', 'Venezuela', 'Argentina', 'Perú']",España,Escudella i carn d'olla,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Hornado?,"['Argentina', 'México', 'España', 'Colombia']",España,Hornado,España,country of traditional dish
¿Cuál es un ingrediente principal de Panellet en España?,"['mazapán', 'masa', 'azúcar', 'pargo rojo']",mazapán,Panellet,España,main ingredient
¿En qué país es tradicionalmente popular el plato Panellet?,"['Perú', 'España', 'Colombia', 'México']",España,Panellet,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato mantecado?,"['Argentina', 'España', 'México', 'Venezuela']",España,mantecado,España,country of traditional dish
¿Cuál es un ingrediente principal de arroz a la cubana en España?,"['Salo', 'cereza', 'huevo', 'ají amarillo']",huevo,arroz a la cubana,España,main ingredient
¿En qué país es tradicionalmente popular el plato arroz a la cubana?,"['Argentina', 'España', 'Colombia', 'Perú']",España,arroz a la cubana,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Barquillo?,"['España', 'Colombia', 'Venezuela', 'Perú']",España,Barquillo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Pasta marquesa?,"['Colombia', 'Venezuela', 'Argentina', 'España']",España,Pasta marquesa,España,country of traditional dish
¿Cuál es un ingrediente principal de Torta de pellizco en España?,"['azúcar', 'pato', 'aceite de semillas', 'caldo']",aceite de semillas,Torta de pellizco,España,main ingredient
¿En qué país es tradicionalmente popular el plato Torta de pellizco?,"['Argentina', 'Colombia', 'México', 'España']",España,Torta de pellizco,España,country of traditional dish
¿Cuál es un ingrediente principal de miel y mató en España?,"['zanahoria', 'Mató', 'anisetta', 'arcilla']",Mató,miel y mató,España,main ingredient
¿En qué país es tradicionalmente popular el plato miel y mató?,"['Perú', 'México', 'España', 'Venezuela']",España,miel y mató,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato borrachuelo?,"['Argentina', 'Colombia', 'México', 'España']",España,borrachuelo,España,country of traditional dish
¿Cuál es un ingrediente principal de gurullos en España?,"['relleno', 'nuez', 'salsa de tomate', 'harina de trigo']",harina de trigo,gurullos,España,main ingredient
¿En qué país es tradicionalmente popular el plato gurullos?,"['España', 'Colombia', 'México', 'Perú']",España,gurullos,España,country of traditional dish
¿Cuál es un ingrediente principal de perdiz escabechada en España?,"['queso crema', 'perdiz', 'galleta de chocolate', 'maní']",perdiz,perdiz escabechada,España,main ingredient
¿En qué país es tradicionalmente popular el plato perdiz escabechada?,"['Colombia', 'Argentina', 'México', 'España']",España,perdiz escabechada,España,country of traditional dish
¿Cuál es un ingrediente principal de Bolla de chicharrones en España?,"['papas fritas', 'Chicharrón', 'mariscos', 'frijoles negros']",Chicharrón,Bolla de chicharrones,España,main ingredient
¿En qué país es tradicionalmente popular el plato Bolla de chicharrones?,"['España', 'México', 'Colombia', 'Argentina']",España,Bolla de chicharrones,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato sable de San Simón?,"['Argentina', 'Venezuela', 'Colombia', 'España']",España,sable de San Simón,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato pionono?,"['Colombia', 'Perú', 'España', 'Argentina']",España,pionono,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Picos?,"['España', 'Perú', 'Venezuela', 'Argentina']",España,Picos,España,country of traditional dish
¿Cuál es un ingrediente principal de Hojuela en España?,"['huevo', 'Epinephelus', 'harina', 'lenteja']",harina,Hojuela,España,main ingredient
¿En qué país es tradicionalmente popular el plato Hojuela?,"['Argentina', 'España', 'Colombia', 'Venezuela']",España,Hojuela,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Rusos de Alfaro?,"['Perú', 'Colombia', 'España', 'México']",España,Rusos de Alfaro,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato tapa?,"['Perú', 'México', 'Venezuela', 'España']",España,tapa,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Coca de mollitas?,"['Colombia', 'Venezuela', 'Argentina', 'España']",España,Coca de mollitas,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Coca de Castellón?,"['España', 'Colombia', 'Argentina', 'México']",España,Coca de Castellón,España,country of traditional dish
¿Cuál es un ingrediente principal de Esgarraet en España?,"['morrón', 'mosto', 'carne de res', 'vino']",morrón,Esgarraet,España,main ingredient
¿En qué país es tradicionalmente popular el plato Esgarraet?,"['España', 'Perú', 'Colombia', 'México']",España,Esgarraet,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato xató?,"['Colombia', 'Perú', 'Venezuela', 'España']",España,xató,España,country of traditional dish
¿Cuál es un ingrediente principal de turrón en España?,"['clara de huevo', 'aderezo peruano', 'jamón del país', 'tortilla de trigo']",clara de huevo,turrón,España,main ingredient
¿En qué país es tradicionalmente popular el plato turrón?,"['Perú', 'Venezuela', 'Colombia', 'España']",España,turrón,España,country of traditional dish
¿Cuál es un ingrediente principal de Olla del segador en España?,"['garbanzo', 'Queso de año', 'semilla de anís', 'fruto']",garbanzo,Olla del segador,España,main ingredient
¿En qué país es tradicionalmente popular el plato Olla del segador?,"['España', 'Argentina', 'México', 'Colombia']",España,Olla del segador,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Rabo de cerdo?,"['México', 'España', 'Venezuela', 'Colombia']",España,Rabo de cerdo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Bajoques farcides?,"['Colombia', 'Venezuela', 'México', 'España']",España,Bajoques farcides,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Magdalena?,"['Argentina', 'España', 'Colombia', 'Perú']",España,Magdalena,España,country of traditional dish
¿Cuál es un ingrediente principal de Hojaldrina en España?,"['Mató', 'harina de trigo', 'nuez', 'Consomé']",harina de trigo,Hojaldrina,España,main ingredient
¿En qué país es tradicionalmente popular el plato Hojaldrina?,"['Colombia', 'Venezuela', 'Perú', 'España']",España,Hojaldrina,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Pastel de arroz?,"['España', 'Argentina', 'Venezuela', 'Colombia']",España,Pastel de arroz,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Caldereta de langosta?,"['España', 'México', 'Argentina', 'Perú']",España,Caldereta de langosta,España,country of traditional dish
¿Cuál es un ingrediente principal de Porrusalda en España?,"['zanahoria', 'Piñón', 'ajo', 'fríjol']",zanahoria,Porrusalda,España,main ingredient
¿En qué país es tradicionalmente popular el plato Porrusalda?,"['España', 'Venezuela', 'Colombia', 'México']",España,Porrusalda,España,country of traditional dish
¿Cuál es un ingrediente principal de Ginestada en España?,"['frijoles refritos', 'plátano de cocinar', 'leche de vaca', 'queso fresco']",leche de vaca,Ginestada,España,main ingredient
¿En qué país es tradicionalmente popular el plato Ginestada?,"['España', 'Argentina', 'México', 'Venezuela']",España,Ginestada,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Quesadilla herreña?,"['Argentina', 'México', 'Venezuela', 'España']",España,Quesadilla herreña,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Cachelo?,"['Perú', 'Colombia', 'España', 'México']",España,Cachelo,España,country of traditional dish
¿Cuál es un ingrediente principal de fartón en España?,"['harina', 'laurel', 'coco', 'carne picada']",harina,fartón,España,main ingredient
¿En qué país es tradicionalmente popular el plato fartón?,"['España', 'Argentina', 'México', 'Venezuela']",España,fartón,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato patatas a lo pobre?,"['México', 'Perú', 'España', 'Argentina']",España,patatas a lo pobre,España,country of traditional dish
¿Cuál es un ingrediente principal de Torta de aceite en España?,"['carne de res', 'aceite de oliva', 'Ternasco', 'harina de trigo']",harina de trigo,Torta de aceite,España,main ingredient
¿En qué país es tradicionalmente popular el plato Torta de aceite?,"['México', 'Perú', 'España', 'Colombia']",España,Torta de aceite,España,country of traditional dish
¿Cuál es un ingrediente principal de Bocadillo de lomo en España?,"['carne de cerdo', 'aceite', 'fríjol', 'casquería']",carne de cerdo,Bocadillo de lomo,España,main ingredient
¿En qué país es tradicionalmente popular el plato Bocadillo de lomo?,"['Colombia', 'España', 'Perú', 'México']",España,Bocadillo de lomo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Huevos moles?,"['Perú', 'Colombia', 'Argentina', 'España']",España,Huevos moles,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Huesos de san Expedito?,"['México', 'Perú', 'Argentina', 'España']",España,Huesos de san Expedito,España,country of traditional dish
¿Cuál es un ingrediente principal de queso y dulce en España?,"['castaña', 'merengue', 'dulce de membrillo', 'azúcar glas']",dulce de membrillo,queso y dulce,España,main ingredient
¿En qué país es tradicionalmente popular el plato queso y dulce?,"['Perú', 'México', 'España', 'Argentina']",España,queso y dulce,España,country of traditional dish
¿Cuál es un ingrediente principal de Pan con tomate en España?,"['grano de cacao', 'tomate', 'Quesos de Colombia', 'chile en polvo']",tomate,Pan con tomate,España,main ingredient
¿En qué país es tradicionalmente popular el plato Pan con tomate?,"['Venezuela', 'Argentina', 'España', 'Colombia']",España,Pan con tomate,España,country of traditional dish
¿Cuál es un ingrediente principal de Bacalao al ajoarriero en España?,"['lima', 'tomate', 'azafrán', 'Longaniza']",tomate,Bacalao al ajoarriero,España,main ingredient
¿En qué país es tradicionalmente popular el plato Bacalao al ajoarriero?,"['España', 'México', 'Argentina', 'Perú']",España,Bacalao al ajoarriero,España,country of traditional dish
¿Cuál es un ingrediente principal de Bocadillo de chorizo en España?,"['panecillo', 'Epinephelus', 'sangre', 'membrillo']",panecillo,Bocadillo de chorizo,España,main ingredient
¿En qué país es tradicionalmente popular el plato Bocadillo de chorizo?,"['México', 'Perú', 'Argentina', 'España']",España,Bocadillo de chorizo,España,country of traditional dish
¿Cuál es un ingrediente principal de hornazo en España?,"['carne', 'lenteja', 'masa de maíz', 'carne de cerdo']",carne de cerdo,hornazo,España,main ingredient
¿En qué país es tradicionalmente popular el plato hornazo?,"['Argentina', 'España', 'Perú', 'México']",España,hornazo,España,country of traditional dish
¿Cuál es un ingrediente principal de Mazamorra en España?,"['azúcar glas', 'agua', 'zumo', 'frijoles negros']",agua,Mazamorra,España,main ingredient
¿En qué país es tradicionalmente popular el plato Mazamorra?,"['España', 'Argentina', 'Perú', 'México']",España,Mazamorra,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Zopako?,"['Colombia', 'España', 'Venezuela', 'Perú']",España,Zopako,España,country of traditional dish
¿Cuál es un ingrediente principal de callos a la madrileña en España?,"['arcilla', 'coco', 'guisado', 'tripas']",tripas,callos a la madrileña,España,main ingredient
¿En qué país es tradicionalmente popular el plato callos a la madrileña?,"['Colombia', 'Venezuela', 'España', 'Perú']",España,callos a la madrileña,España,country of traditional dish
¿Cuál es un ingrediente principal de Gazpachos extremeños en España?,"['Queso de año', 'Ensaladilla', 'jugo de lima', 'pan']",pan,Gazpachos extremeños,España,main ingredient
¿En qué país es tradicionalmente popular el plato Gazpachos extremeños?,"['México', 'Argentina', 'España', 'Perú']",España,Gazpachos extremeños,España,country of traditional dish
¿Cuál es un ingrediente principal de Trucha a la navarra en España?,"['azúcar', 'Jamón de España', 'pan blanco', 'vino']",Jamón de España,Trucha a la navarra,España,main ingredient
¿En qué país es tradicionalmente popular el plato Trucha a la navarra?,"['Perú', 'Venezuela', 'España', 'Colombia']",España,Trucha a la navarra,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Tokke?,"['España', 'Argentina', 'Colombia', 'Perú']",España,Tokke,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Lacón?,"['Colombia', 'Argentina', 'Venezuela', 'España']",España,Lacón,España,country of traditional dish
¿Cuál es un ingrediente principal de Neula en España?,"['papa', 'harina', 'limón', 'chocolate']",harina,Neula,España,main ingredient
¿En qué país es tradicionalmente popular el plato Neula?,"['España', 'Colombia', 'Argentina', 'Perú']",España,Neula,España,country of traditional dish
¿Cuál es un ingrediente principal de arroz con granos en España?,"['Habas', 'linguiça', 'Mató', 'azúcar morena']",linguiça,arroz con granos,España,main ingredient
¿En qué país es tradicionalmente popular el plato arroz con granos?,"['Argentina', 'México', 'Venezuela', 'España']",España,arroz con granos,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Castañas con leche?,"['Colombia', 'Perú', 'España', 'Venezuela']",España,Castañas con leche,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Ponche segoviano?,"['Venezuela', 'Perú', 'Argentina', 'España']",España,Ponche segoviano,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Pan de cañada?,"['Perú', 'Venezuela', 'España', 'Colombia']",España,Pan de cañada,España,country of traditional dish
¿Cuál es un ingrediente principal de Quesada pasiega en España?,"['coco rallado', 'queso crema', 'leche', 'plátano']",leche,Quesada pasiega,España,main ingredient
¿En qué país es tradicionalmente popular el plato Quesada pasiega?,"['Colombia', 'España', 'Argentina', 'Venezuela']",España,Quesada pasiega,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Blanco y negro?,"['España', 'Venezuela', 'Argentina', 'México']",España,Blanco y negro,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Ternasco asado?,"['España', 'Perú', 'México', 'Colombia']",España,Ternasco asado,España,country of traditional dish
¿Cuál es un ingrediente principal de Calamares en su tinta en España?,"['semilla de anís', 'tomate', 'Chicharrón', 'Salsa vizcaína']",tomate,Calamares en su tinta,España,main ingredient
¿En qué país es tradicionalmente popular el plato Calamares en su tinta?,"['Colombia', 'España', 'Perú', 'Venezuela']",España,Calamares en su tinta,España,country of traditional dish
¿Cuál es un ingrediente principal de Lechazo asado en España?,"['maíz morado', 'carne de cordero', 'jamón', 'frijoles negros']",carne de cordero,Lechazo asado,España,main ingredient
¿En qué país es tradicionalmente popular el plato Lechazo asado?,"['Argentina', 'España', 'Venezuela', 'Colombia']",España,Lechazo asado,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Regañao?,"['México', 'Perú', 'España', 'Colombia']",España,Regañao,España,country of traditional dish
¿Cuál es un ingrediente principal de Torta loca en España?,"['azúcar', 'yema', 'salsa criolla', 'miel']",yema,Torta loca,España,main ingredient
¿En qué país es tradicionalmente popular el plato Torta loca?,"['Colombia', 'Venezuela', 'España', 'Argentina']",España,Torta loca,España,country of traditional dish
¿Cuál es un ingrediente principal de melcocha en España?,"['Consomé', 'panela', 'limón', 'aceite de semillas']",panela,melcocha,España,main ingredient
¿En qué país es tradicionalmente popular el plato melcocha?,"['España', 'México', 'Colombia', 'Argentina']",España,melcocha,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Roscón de reyes?,"['España', 'Argentina', 'Colombia', 'México']",España,Roscón de reyes,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Pan Dalí?,"['Perú', 'España', 'Colombia', 'México']",España,Pan Dalí,España,country of traditional dish
¿Cuál es un ingrediente principal de Albóndigas de bacalao en España?,"['calabaza', 'frijoles negros', 'panela', 'ajo']",ajo,Albóndigas de bacalao,España,main ingredient
¿En qué país es tradicionalmente popular el plato Albóndigas de bacalao?,"['Perú', 'España', 'Argentina', 'Venezuela']",España,Albóndigas de bacalao,España,country of traditional dish
¿Cuál es un ingrediente principal de Catanias en España?,"['garbanzo', 'almendro', 'alcaparra', 'carne de pollo']",almendro,Catanias,España,main ingredient
¿En qué país es tradicionalmente popular el plato Catanias?,"['España', 'Colombia', 'México', 'Argentina']",España,Catanias,España,country of traditional dish
¿Cuál es un ingrediente principal de Tortita negra en España?,"['pimienta', 'tripas', 'harina', 'levadura de panadería']",harina,Tortita negra,España,main ingredient
¿En qué país es tradicionalmente popular el plato Tortita negra?,"['Argentina', 'Perú', 'México', 'España']",España,Tortita negra,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato hueso de santo?,"['Venezuela', 'Colombia', 'España', 'Perú']",España,hueso de santo,España,country of traditional dish
¿Cuál es un ingrediente principal de Cocido lebaniego en España?,"['Queso de año', 'Llobarro', 'garbanzo', 'sándwich']",garbanzo,Cocido lebaniego,España,main ingredient
¿En qué país es tradicionalmente popular el plato Cocido lebaniego?,"['Colombia', 'Perú', 'España', 'Venezuela']",España,Cocido lebaniego,España,country of traditional dish
¿Cuál es un ingrediente principal de Pastel vasco en España?,"['plátano macho', 'castaña', 'mantequilla', 'aceite de girasol']",mantequilla,Pastel vasco,España,main ingredient
¿En qué país es tradicionalmente popular el plato Pastel vasco?,"['España', 'Venezuela', 'Argentina', 'Perú']",España,Pastel vasco,España,country of traditional dish
¿Cuál es un ingrediente principal de fideuá en España?,"['perejil', 'tomate', 'tripas', 'agua']",agua,fideuá,España,main ingredient
¿En qué país es tradicionalmente popular el plato fideuá?,"['Argentina', 'España', 'México', 'Colombia']",España,fideuá,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Entornao?,"['España', 'Venezuela', 'Perú', 'Argentina']",España,Entornao,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Cocido montañés?,"['Venezuela', 'México', 'España', 'Perú']",España,Cocido montañés,España,country of traditional dish
¿Cuál es un ingrediente principal de Hojas de parra en España?,"['queso', 'Almendra', 'manjar blanco (Hispanidad)', 'jugo de limón']",jugo de limón,Hojas de parra,España,main ingredient
¿En qué país es tradicionalmente popular el plato Hojas de parra?,"['Colombia', 'Venezuela', 'Argentina', 'España']",España,Hojas de parra,España,country of traditional dish
¿Cuál es un ingrediente principal de Cachorreñas en España?,"['manos de cerdo', 'chocolate', 'ajo', 'pimentón']",pimentón,Cachorreñas,España,main ingredient
¿En qué país es tradicionalmente popular el plato Cachorreñas?,"['Argentina', 'España', 'Perú', 'Colombia']",España,Cachorreñas,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Almendrados de Allariz?,"['México', 'España', 'Venezuela', 'Colombia']",España,Almendrados de Allariz,España,country of traditional dish
¿Cuál es un ingrediente principal de cochinillo asado en España?,"['haba', 'laurel', 'pimentón', 'carne de cerdo']",carne de cerdo,cochinillo asado,España,main ingredient
¿En qué país es tradicionalmente popular el plato cochinillo asado?,"['Perú', 'España', 'Argentina', 'Venezuela']",España,cochinillo asado,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Torta de cañamones?,"['España', 'Colombia', 'Argentina', 'México']",España,Torta de cañamones,España,country of traditional dish
¿Cuál es un ingrediente principal de gachas en España?,"['Mató', 'canela', 'chile en polvo', 'harina de trigo']",harina de trigo,gachas,España,main ingredient
¿En qué país es tradicionalmente popular el plato gachas?,"['Colombia', 'Argentina', 'España', 'Perú']",España,gachas,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Lechuguino?,"['Argentina', 'Venezuela', 'España', 'Colombia']",España,Lechuguino,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Chocho?,"['Argentina', 'España', 'Perú', 'México']",España,Chocho,España,country of traditional dish
¿Cuál es un ingrediente principal de Espinacas a la catalana en España?,"['Piñón', 'maíz dulce', 'Ensaladilla', 'chile en polvo']",Piñón,Espinacas a la catalana,España,main ingredient
¿En qué país es tradicionalmente popular el plato Espinacas a la catalana?,"['Perú', 'España', 'Colombia', 'Venezuela']",España,Espinacas a la catalana,España,country of traditional dish
¿Cuál es un ingrediente principal de Porra antequerana en España?,"['ajo', 'charqui', 'guisado', 'morcilla']",ajo,Porra antequerana,España,main ingredient
¿En qué país es tradicionalmente popular el plato Porra antequerana?,"['España', 'México', 'Argentina', 'Perú']",España,Porra antequerana,España,country of traditional dish
¿Cuál es un ingrediente principal de pipirrana en España?,"['morrón', 'perdiz', 'nuez', 'semilla de comino']",morrón,pipirrana,España,main ingredient
¿En qué país es tradicionalmente popular el plato pipirrana?,"['España', 'Perú', 'Argentina', 'Colombia']",España,pipirrana,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Barzón (postre)?,"['Perú', 'España', 'México', 'Colombia']",España,Barzón (postre),España,country of traditional dish
¿Cuál es un ingrediente principal de Cocido en España?,"['harina', 'sacarosa', 'bicarbonato', 'garbanzo']",garbanzo,Cocido,España,main ingredient
¿En qué país es tradicionalmente popular el plato Cocido?,"['España', 'Colombia', 'Perú', 'Argentina']",España,Cocido,España,country of traditional dish
¿Cuál es un ingrediente principal de Piperrada en España?,"['pan', 'cebolla', 'mozzarella', 'bollo']",cebolla,Piperrada,España,main ingredient
¿En qué país es tradicionalmente popular el plato Piperrada?,"['España', 'México', 'Colombia', 'Perú']",España,Piperrada,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Frito mallorquín?,"['España', 'Argentina', 'Colombia', 'Venezuela']",España,Frito mallorquín,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Goguera?,"['Venezuela', 'España', 'Perú', 'México']",España,Goguera,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato mazapán de Soto?,"['Venezuela', 'España', 'Perú', 'México']",España,mazapán de Soto,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Chula?,"['Venezuela', 'México', 'Colombia', 'España']",España,Chula,España,country of traditional dish
¿Cuál es un ingrediente principal de torta de reyes en España?,"['Longaniza', 'masa', 'maíz', 'zanahoria']",masa,torta de reyes,España,main ingredient
¿En qué país es tradicionalmente popular el plato torta de reyes?,"['España', 'Colombia', 'Venezuela', 'Perú']",España,torta de reyes,España,country of traditional dish
¿Cuál es un ingrediente principal de Abisinio en España?,"['mosto', 'crema pastelera', 'harina de centeno', 'higo']",crema pastelera,Abisinio,España,main ingredient
¿En qué país es tradicionalmente popular el plato Abisinio?,"['Perú', 'México', 'España', 'Argentina']",España,Abisinio,España,country of traditional dish
¿Cuál es un ingrediente principal de freginat en España?,"['especia', 'alcaparra', 'cebolla', 'carne de cerdo']",carne de cerdo,freginat,España,main ingredient
¿En qué país es tradicionalmente popular el plato freginat?,"['España', 'Argentina', 'Venezuela', 'México']",España,freginat,España,country of traditional dish
¿Cuál es un ingrediente principal de pimientos rellenos en España?,"['maíz morado', 'carne picada', 'haba', 'mantequilla']",carne picada,pimientos rellenos,España,main ingredient
¿En qué país es tradicionalmente popular el plato pimientos rellenos?,"['Colombia', 'Perú', 'España', 'Argentina']",España,pimientos rellenos,España,country of traditional dish
¿Cuál es un ingrediente principal de plato alpujarreño en España?,"['carne', 'papas fritas', 'semilla de comino', 'carne picada']",papas fritas,plato alpujarreño,España,main ingredient
¿En qué país es tradicionalmente popular el plato plato alpujarreño?,"['Colombia', 'Venezuela', 'España', 'Argentina']",España,plato alpujarreño,España,country of traditional dish
¿Cuál es un ingrediente principal de Chicharrón en España?,"['caldo', 'legumbre', 'piel de cerdo', 'leche de coco']",piel de cerdo,Chicharrón,España,main ingredient
¿En qué país es tradicionalmente popular el plato Chicharrón?,"['Perú', 'Colombia', 'México', 'España']",España,Chicharrón,España,country of traditional dish
¿Cuál es un ingrediente principal de Turrón de Soconusco en España?,"['grano de cacao', 'bizcocho', 'anisetta', 'Fubá']",grano de cacao,Turrón de Soconusco,España,main ingredient
¿En qué país es tradicionalmente popular el plato Turrón de Soconusco?,"['Argentina', 'Venezuela', 'España', 'Colombia']",España,Turrón de Soconusco,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato potaje de farro?,"['España', 'Perú', 'México', 'Colombia']",España,potaje de farro,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato remojón?,"['Perú', 'México', 'España', 'Colombia']",España,remojón,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Moros y cristianos?,"['España', 'Venezuela', 'México', 'Perú']",España,Moros y cristianos,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Boba?,"['España', 'Argentina', 'Perú', 'Colombia']",España,Boba,España,country of traditional dish
¿Cuál es un ingrediente principal de pisto en España?,"['mantequilla', 'morcilla', 'panela', 'berenjena']",berenjena,pisto,España,main ingredient
¿En qué país es tradicionalmente popular el plato pisto?,"['Colombia', 'España', 'México', 'Argentina']",España,pisto,España,country of traditional dish
¿Cuál es un ingrediente principal de dulce de membrillo en España?,"['ajo', 'membrillo', 'limón', 'leche evaporada']",membrillo,dulce de membrillo,España,main ingredient
¿En qué país es tradicionalmente popular el plato dulce de membrillo?,"['España', 'Colombia', 'México', 'Argentina']",España,dulce de membrillo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato rosquillas de Santa Clara?,"['Argentina', 'España', 'Colombia', 'México']",España,rosquillas de Santa Clara,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Olla segorbina?,"['España', 'Argentina', 'México', 'Colombia']",España,Olla segorbina,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato caldo de pimentón?,"['Argentina', 'España', 'Venezuela', 'Colombia']",España,caldo de pimentón,España,country of traditional dish
¿Cuál es un ingrediente principal de Sopa de almendra en España?,"['Llobarro', 'producto del mar', 'almendra', 'embutido']",almendra,Sopa de almendra,España,main ingredient
¿En qué país es tradicionalmente popular el plato Sopa de almendra?,"['España', 'Colombia', 'Venezuela', 'Argentina']",España,Sopa de almendra,España,country of traditional dish
